0, 1681731236545, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 0
1, 1681731236545, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 0
2, 1681731236545, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 0
0, 1681731236551, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 0
1, 1681731236551, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 0
2, 1681731236551, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 0
0, 1681731236557, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 0
1, 1681731236557, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 0
2, 1681731236557, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 0
0, 1681731236563, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 0
1, 1681731236563, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 0
2, 1681731236563, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 0
0, 1681731236564, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 0
1, 1681731236564, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 0
2, 1681731236564, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 0
0, 1681731236570, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 1
1, 1681731236570, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 1
2, 1681731236570, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 1
0, 1681731236576, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 1
1, 1681731236576, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 1
2, 1681731236576, 0, 0, 1320, 0, 1000, 0, 0, 0, 0, 0, 1
0, 1681731236582, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 1
1, 1681731236582, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 1
2, 1681731236582, 0, 0, 1320, 1320, 1000, 1000, 0, 0, 0, 0, 1
0, 1681731236588, 0, 0, 780, 0, 730, 0, 0, 0, 0, 0, 1
1, 1681731236588, 0, 0, 570, 0, 1188, 0, 0, 0, 0, 0, 1
2, 1681731236588, 0, 0, 1320, 1320, 1000, 1000, 0, 0, 0, 0, 1
0, 1681731236594, 0, 0, 780, 780, 730, 730, 0, 0, 0, 0, 1
